id,name,price
1,Biodegradable Trash Bags,439.55
2,Jasmine Rice,423.61
3,Customizable Name Puzzle,328.73
4,Black Bean Soup,5.16
5,Smart LED Light Strip,262.03
6,Organic Coconut Yogurt,105.76
7,Coconut Rice,260.10
8,Lemon Garlic Shrimp,78.20
9,Dark Chocolate Almond Butter Cups,128.24
10,Black Bean Salsa,94.45
11,Caramel Sauce,36.02
12,Spicy Italian Sausage,173.48
13,Garlic Parmesan Roasted Potatoes,182.36
14,Herb-Infused Olive Oil,478.97
15,Apple Pie Filling,386.45
16,Zesty Garlic Hummus,75.46
17,Lightweight Travel Backpack,451.81
18,Organic Black Bean Burger,325.43
19,Potting Soil,300.24
20,Cheese Stuffed Jalapenos,164.46
21,Ultra-Thin Laptop Sleeve,246.12
22,Herb Garlic Butter,22.69
23,Lemon Dill Salmon,198.40
24,Kettle Chip Variety Pack,493.23
25,Travel Shoe Bags Set,134.08
26,Craft Beer Mustard,406.65
27,Reusable Snack Bags,276.35
28,Self-Adhesive Wallpaper,290.21
29,Compost Bin,411.96
30,Organic Vanilla Bean Ice Cream,293.70
31,Home Delivery Food Journal,101.04
32,Classic Bagels,267.98
33,Cacao Nibs,410.50
34,Organic Quinoa Salad,463.07
35,LED Under Cabinet Lighting,224.00
36,Organic Ramen Noodles,416.83
37,LED Strip Lights Kit,456.50
38,Chipotle Black Bean Salad,221.85
39,Portable USB-C Monitor,198.06
40,Smartphone Camera Lens Kit,390.98
41,Mashed Sweet Potatoes,297.73
42,Travel Shoe Bags Set,186.50
43,Key Finder,22.29
44,Portable Charcoal Grill,198.77
45,Berries Medley,219.63
46,Garden Hose,16.34
47,Organic Coconut Oil,10.30
48,Wireless Mouse,342.16
49,Pomegranate Juice,460.70
50,Bicycle Lock,206.70
